a52dec 0.7.4-11
aalib 1.4rc5-14
abook 0.6.1-6
accounts-qml-module 0.7-3
acl 2.3.1-1
acpi 1.7-3
acpid 2.0.32-2
acpid-openrc 20200701-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 3.38.0-1
aircrack-ng 1.6-4
alembic 1.7.16-1
alsa-card-profiles 1:0.3.24-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
alsa-utils-openrc 20200622-1
ant 1.10.9-1
antlr4 4.9.2-1
antlr4-runtime 4.9.2-1
aom 2.0.2-1
apparmor 3.0.1-1
arandr 0.1.10-5.1
archlinux-keyring 20210110-1
archlinux-mirrorlist 20200920-1
arcus 4.8.0-3
arduino 1:1.8.13-3
arduino-builder 1.5.4-1
arduino-ctags 5.8_arduino11-4
argon2 20190702-3
aria2 1.35.0-2
aribb24 1.0.3-3
artix-backgrounds 0.8.6-3
artix-branding-base 20201206-1
artix-dark-theme 20201126-3
artix-desktop-presets 20201127-1
artix-grub-theme 0.7-4
artix-gtk-presets 20210221-1
artix-icons 0.8.6-3
artix-keyring 20201028-1
artix-mirrorlist 20210303-1
artix-qt-presets 20201126-3
asar 3.0.3-1
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.0-1
atk 2.36.0-1
atkmm 2.28.1-1
atool 0.39.0-7
atril 1.24.0-2
attica 5.80.0-1
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.1-1
autoconf 2.71-1
autoconf2.13 2.13-6
automake 1.16.3-1
avahi 0.8+15+ge8a3dd0-3
avahi-openrc 20200709-1
b43-fwcutter 019-3
babl 0.1.84-1
base 2-2.3
bash 5.1.004-1
bc 1.07.1-4
biber 1:2.15-1
binutils 2.36.1-2
bison 3.7.3-1
blas 3.9.0-3
blender 17:2.92.0-1
blosc 1.21.0-1
bluez 5.56-2
bluez-libs 5.56-2
bluez-openrc 20200709-1
bluez-utils 5.56-2
boost 1.75.0-2
boost-libs 1.75.0-2
box2d 2.4.1-1
bridge-utils 1.7.1-1
brotli 1.0.9-4
btrfs-progs 5.11-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.63-1
ca-certificates-utils 20181109-4
cairo 1.17.4-5
cairomm 1.12.2-4
calcurse 4.7.0-1
cantarell-fonts 1:0.301-1
cbindgen 0.18.0-1
cblas 3.9.0-3
ccache 4.2-1
cdparanoia 10.2-8
cfitsio 1:3.49-1
chromaprint 1.5.0-3
chromium 89.0.4389.90-1
cifs-utils 6.12-1
clang 11.1.0-1
clonezilla 3.35.2-3
clucene 2.3.3.4-11
cmake 3.19.7-1
code 1.54.2-1
coin 4.0.0.f4e446-2
colord 1.4.5-1
colord-gtk 0.2.0-2
compiler-rt 11.1.0-1
confuse 3.3-3
connman 1.39-1
connman-gtk 1.1.1-2
connman-openrc 20200709-1
containerd 1.4.4-1
coreutils 8.32-1
cowsay 3.04-2
cracklib 2.9.7-2
crda 4.14-3
cronie 1.5.6-1
cronie-openrc 20200711-1
cryptsetup 2.3.5-1
cryptsetup-openrc 20200711-1
ctags 1:r20210106+g08b1c490-1
cura-appimage-bin 4.8.0-2
cura-binary-data 4.8.0-1
cura-resources-materials 4.8.0-1
curaengine 4.8.0-2
curl 7.75.0-1
cydia-impactor 0.9.52-4
cython 0.29.22-1
darktable 2:3.4.1-2
dash 0.5.11.3-1
dashbinsh 0.1-5
dav1d 0.8.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dbus-openrc 20200911-1
dbus-python 1.2.16-4
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.11-5
device-mapper-openrc 20200711-1
dfu-util 0.10-1
dhclient 4.4.2-2
dhcp 4.4.2-2
dhcpcd 9.4.0-1
dhcpcd-openrc 20201118-1
dialog 1:1.3_20210306-1
diffutils 3.7-3
ding-libs 0.6.1-3
discord_arch_electron 0.0.14-1
discount 2.2.7-1
displaymanager-openrc 20200709-1
djvulibre 3.5.28-2
dkms 2.8.4-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.84-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.5-1
docker-compose 1.28.5-1
dosfstools 4.2-1
double-conversion 3.1.5-2
drbl 2.30.5-1
dsniff 2.4b1-28
dunst 1.5.0-1
e2fsprogs 1.46.2-1
ecryptfs-utils 111-4
efibootmgr 17-2
efivar 37-4
eigen 3.3.9-1
electron 11.3.0-1
electron7 7.1.14-7
electron9 9.4.3-1
elfutils 0.183-3
elogind 246.10-1
elogind-openrc 20200711-1
emacs 27.1-3
embree 3.12.2-1
enchant 2.2.15-1
esysusers 247.4-1
ethtool 1:5.10-1
etmpfiles 247.4-1
eudev 3.2.10-1
evince 3.38.2-1
exfat-utils 1.3.0-2
exiv2 0.27.3-1
expat 2.2.10-2
f2fs-tools 1.14.0-1
faad2 2.10.0-1
fakeroot 1.25.3-2
feh 3.6.3-1
ffmpeg 2:4.3.2-3
fftw 3.3.9-1
file 5.39-1
filesystem 2021.01.19-1
findutils 4.8.0-1
fingerprint-gui 1.09-7
firefox 87.0-1
flac 1.3.3-2
flameshot 0.9.0-1
flex 2.6.4-3
flickcurl 1.26-10
fluidsynth 2.1.7-1
fmt 7.1.3-1
fontconfig 2:2.13.91+48+gfcb0420-2
freecad-git 0.19_pre.r5490.g98f9397939-1
freeglut 3.2.1-2
freeimage 3.18.0-7
freetype2 2.10.4-1
fribidi 1.0.10-1
fstrm 0.6.0-2
fuse-common 3.10.2-1
fuse2 2.9.9-4
fuse3 3.10.2-1
fzf 0.26.0-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.2.0-6
gcc-fortran 10.2.0-6
gcc-libs 10.2.0-6
gcr 3.38.1-1
gd 2.3.2-2
gdb 10.1-4
gdb-common 10.1-4
gdbm 1.19-2
gdk-pixbuf2 2.42.2-1
gegl 0.4.28-2
gendesk 1.0.8-1
geoclue 2.5.7-2
geocode-glib 3.26.2-1
geos 3.8.1-1
gettext 0.21-1
ghc-libs 8.10.4-1
ghostscript 9.53.3-3.1
giflib 5.2.1-2
gimp 2.10.22-2
gimp-nufraw 0.43.3-2
girara 0.3.5-1
git 2.31.0-1
gl2ps 1.4.2-2
glew 2.2.0-2
glib-networking 1:2.68.0-1.1
glib2 2.68.0-3
glib2-docs 2.68.0-3
glibc 2.33-4
glibmm 2.66.0-1
glm 0.9.9.8-1
glslang 11.2.0-3
glu 9.0.1-2
gmic 2.9.6-1
gmime3 3.2.7-1
gmp 6.2.1-1
gn 0.1877.595e3be7-1
gnome-desktop 1:3.38.4-1
gnome-keyring 1:3.36.0-3
gnupg 2.2.27-1
gnutls 3.7.1-1
go 2:1.16.2-1
